Address,Postcode,Agent,Type,Bedrooms,Asking rent (pm),Days,Let agreed,Lat,Lng,URL
"Cranham Street, Oxford OX2",OX2 6DD,North Oxford Property Services,Detached house,4,3198,18,0,51.759338,-1.268789,https://propertydata.co.uk/outbound/zoopla/65835369
"Rickyard Close, Summertown OX1",OX1 2DD,Chancellors,Terraced house,4,3250,10,0,51.754,-1.268,https://propertydata.co.uk/outbound/zoopla/54718276
"Great Clarendon Street, Oxford OX2",OX2 6AT,Hamptons,Flat,4,3384,18,0,51.758269,-1.267353,https://propertydata.co.uk/outbound/zoopla/58595134
"Nelson Street, Oxford OX2",OX2 6BD,Hamptons,Flat,4,4355,206,0,51.756933,-1.267881,https://propertydata.co.uk/outbound/zoopla/58595185
"Walton Street, Oxford OX1",OX1 2HG,Finders Keepers,Detached house,4,4749,16,0,51.756737,-1.263553,https://propertydata.co.uk/outbound/zoopla/67306544
Richmond Road Oxford OX1,OX1 2JJ,"Hamptons, Oxford",Detached house,4,4974,62,1,51.75705,-1.26469,https://propertydata.co.uk/outbound/rightmove/146153291
"Sadler Walk, Oxford",OX1 1TX,"Martin &amp; Co, Oxford",Terraced house,3,2102,19,1,51.74733,-1.26311,https://propertydata.co.uk/outbound/rightmove/147719360
"Venneit Close, Oxford OX1",OX1 1HZ,North Oxford Property Services,Flat,3,2249,18,0,51.757633,-1.272567,https://propertydata.co.uk/outbound/zoopla/66540809
"Stable Close, Oxford OX1",OX1 2DD,Chancellors,Semi-detached house,3,2500,8,0,51.754,-1.268,https://propertydata.co.uk/outbound/zoopla/61962558
Jean Marguerite Court,OX1 1UD,"North Oxford Property Service, Oxford",Flat,3,2548,226,0,51.749385,-1.262631,https://propertydata.co.uk/outbound/rightmove/140890439